광역지자체,자치구,연월,통계명,항목명,값,단위
전국,,2003-10,M2_통화량,"M2(평잔, 원계열)",829477.3,십억원
전국,,2003-11,M2_통화량,"M2(평잔, 원계열)",841469.1,십억원
전국,,2003-12,M2_통화량,"M2(평잔, 원계열)",848241.9,십억원
전국,,2004-01,M2_통화량,"M2(평잔, 원계열)",852283.5,십억원
전국,,2004-02,M2_통화량,"M2(평잔, 원계열)",860232.8,십억원
전국,,2004-03,M2_통화량,"M2(평잔, 원계열)",870802.2,십억원
전국,,2004-04,M2_통화량,"M2(평잔, 원계열)",872070.8,십억원
전국,,2004-05,M2_통화량,"M2(평잔, 원계열)",873871.1,십억원
전국,,2004-06,M2_통화량,"M2(평잔, 원계열)",882455.9,십억원
전국,,2004-07,M2_통화량,"M2(평잔, 원계열)",883705.3,십억원
전국,,2004-08,M2_통화량,"M2(평잔, 원계열)",884012.4,십억원
전국,,2004-09,M2_통화량,"M2(평잔, 원계열)",890541,십억원
전국,,2004-10,M2_통화량,"M2(평잔, 원계열)",891458,십억원
전국,,2004-11,M2_통화량,"M2(평잔, 원계열)",895480.3,십억원
전국,,2004-12,M2_통화량,"M2(평잔, 원계열)",897073.9,십억원
전국,,2005-01,M2_통화량,"M2(평잔, 원계열)",899589.3,십억원
전국,,2005-02,M2_통화량,"M2(평잔, 원계열)",910726.5,십억원
전국,,2005-03,M2_통화량,"M2(평잔, 원계열)",926334,십억원
전국,,2005-04,M2_통화량,"M2(평잔, 원계열)",932098.6,십억원
전국,,2005-05,M2_통화량,"M2(평잔, 원계열)",934622.4,십억원
전국,,2005-06,M2_통화량,"M2(평잔, 원계열)",943169.1,십억원
전국,,2005-07,M2_통화량,"M2(평잔, 원계열)",953348.6,십억원
전국,,2005-08,M2_통화량,"M2(평잔, 원계열)",959700.2,십억원
전국,,2005-09,M2_통화량,"M2(평잔, 원계열)",953812.2,십억원
전국,,2005-10,M2_통화량,"M2(평잔, 원계열)",955318.1,십억원
전국,,2005-11,M2_통화량,"M2(평잔, 원계열)",953461,십억원
전국,,2005-12,M2_통화량,"M2(평잔, 원계열)",957776.3,십억원
전국,,2006-01,M2_통화량,"M2(평잔, 원계열)",954686.6,십억원
전국,,2006-02,M2_통화량,"M2(평잔, 원계열)",961254.6,십억원
전국,,2006-03,M2_통화량,"M2(평잔, 원계열)",968589.7,십억원
전국,,2006-04,M2_통화량,"M2(평잔, 원계열)",971817,십억원
전국,,2006-05,M2_통화량,"M2(평잔, 원계열)",978529.1,십억원
전국,,2006-06,M2_통화량,"M2(평잔, 원계열)",991544,십억원
전국,,2006-07,M2_통화량,"M2(평잔, 원계열)",995026.6,십억원
전국,,2006-08,M2_통화량,"M2(평잔, 원계열)",996232.2,십억원
전국,,2006-09,M2_통화량,"M2(평잔, 원계열)",1010145.2,십억원
전국,,2006-10,M2_통화량,"M2(평잔, 원계열)",1020465.8,십억원
전국,,2006-11,M2_통화량,"M2(평잔, 원계열)",1029237.4,십억원
전국,,2006-12,M2_통화량,"M2(평잔, 원계열)",1039526,십억원
전국,,2007-01,M2_통화량,"M2(평잔, 원계열)",1045854.3,십억원
전국,,2007-02,M2_통화량,"M2(평잔, 원계열)",1057712.2,십억원
전국,,2007-03,M2_통화량,"M2(평잔, 원계열)",1061228.7,십억원
전국,,2007-04,M2_통화량,"M2(평잔, 원계열)",1062451.9,십억원
전국,,2007-05,M2_통화량,"M2(평잔, 원계열)",1065927.2,십억원
전국,,2007-06,M2_통화량,"M2(평잔, 원계열)",1078822.2,십억원
전국,,2007-07,M2_통화량,"M2(평잔, 원계열)",1081551,십억원
전국,,2007-08,M2_통화량,"M2(평잔, 원계열)",1081202.5,십억원
전국,,2007-09,M2_통화량,"M2(평잔, 원계열)",1085025,십억원
전국,,2007-10,M2_통화량,"M2(평잔, 원계열)",1087318.9,십억원
전국,,2007-11,M2_통화량,"M2(평잔, 원계열)",1090258.4,십억원
