광역지자체,자치구,연월,통계명,항목명,값,단위
강원,,2006-12,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2849.6,십억원
강원,,2007-01,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2699,십억원
강원,,2007-02,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2699.4,십억원
강원,,2007-03,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2723.7,십억원
강원,,2007-04,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2736.3,십억원
강원,,2007-05,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2749,십억원
강원,,2007-06,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2784.5,십억원
강원,,2007-07,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2711.1,십억원
강원,,2007-08,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2732.9,십억원
강원,,2007-09,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2730,십억원
강원,,2007-10,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2751.4,십억원
강원,,2007-11,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2770.9,십억원
강원,,2007-12,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2744.4,십억원
강원,,2008-01,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2754.1,십억원
강원,,2008-02,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2723.4,십억원
강원,,2008-03,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2674.2,십억원
강원,,2008-04,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2645.1,십억원
강원,,2008-05,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2611.3,십억원
강원,,2008-06,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2571.5,십억원
강원,,2008-07,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2584.7,십억원
강원,,2008-08,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2576.8,십억원
강원,,2008-09,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2580.4,십억원
강원,,2008-10,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2579.1,십억원
강원,,2008-11,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2569.8,십억원
강원,,2008-12,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2557.8,십억원
강원,,2009-01,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2551.9,십억원
강원,,2009-02,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2552.4,십억원
강원,,2009-03,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2548.9,십억원
강원,,2009-04,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2503.8,십억원
강원,,2009-05,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2501.2,십억원
강원,,2009-06,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2509.3,십억원
강원,,2009-07,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2511.9,십억원
강원,,2009-08,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2477.1,십억원
강원,,2009-09,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2405.6,십억원
강원,,2009-10,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2385,십억원
강원,,2009-11,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2369.7,십억원
강원,,2009-12,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2353.9,십억원
강원,,2010-01,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2329.9,십억원
강원,,2010-02,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2305.4,십억원
강원,,2010-03,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2297.1,십억원
강원,,2010-04,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2288.3,십억원
강원,,2010-05,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2296.2,십억원
강원,,2010-06,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2294.6,십억원
강원,,2010-07,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2295.6,십억원
강원,,2010-08,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2298.1,십억원
강원,,2010-09,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2323.4,십억원
강원,,2010-10,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2335.5,십억원
강원,,2010-11,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2352.3,십억원
강원,,2010-12,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2386.4,십억원
강원,,2011-01,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2384.4,십억원
강원,,2011-02,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2383.5,십억원
강원,,2011-03,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2383.3,십억원
강원,,2011-04,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2403.8,십억원
강원,,2011-05,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2424.1,십억원
강원,,2011-06,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2424.8,십억원
강원,,2011-07,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2444.3,십억원
강원,,2011-08,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2467.1,십억원
강원,,2011-09,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2483,십억원
강원,,2011-10,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2506.7,십억원
강원,,2011-11,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2525.6,십억원
강원,,2011-12,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2544.9,십억원
강원,,2012-01,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2552.9,십억원
강원,,2012-02,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2561.7,십억원
강원,,2012-03,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2570.6,십억원
강원,,2012-04,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2616.3,십억원
강원,,2012-05,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2636.3,십억원
강원,,2012-06,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2663.9,십억원
강원,,2012-07,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2670.8,십억원
강원,,2012-08,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2714.7,십억원
강원,,2012-09,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2735.7,십억원
강원,,2012-10,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2762.9,십억원
강원,,2012-11,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2756.8,십억원
강원,,2012-12,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2869.7,십억원
강원,,2013-01,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2849.2,십억원
강원,,2013-02,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2845,십억원
강원,,2013-03,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2865.8,십억원
강원,,2013-04,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2891.9,십억원
강원,,2013-05,지역별_주택관련대출_예금은행,주택관련대출-예금은행,2928.6,십억원
강원,,2013-06,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3060.2,십억원
강원,,2013-07,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3054.7,십억원
강원,,2013-08,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3085.8,십억원
강원,,2013-09,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3114.8,십억원
강원,,2013-10,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3126,십억원
강원,,2013-11,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3152.3,십억원
강원,,2013-12,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3262.6,십억원
강원,,2014-01,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3252.1,십억원
강원,,2014-02,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3285.4,십억원
강원,,2014-03,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3308.9,십억원
강원,,2014-04,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3272.8,십억원
강원,,2014-05,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3290.6,십억원
강원,,2014-06,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3328.7,십억원
강원,,2014-07,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3371.8,십억원
강원,,2014-08,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3374.7,십억원
강원,,2014-09,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3373.2,십억원
강원,,2014-10,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3391.6,십억원
강원,,2014-11,지역별_주택관련대출_예금은행,주택관련대출-예금은행,3407.2,십억원
