광역지자체,자치구,연월,주기,지표명,값,단위
강원,,2008-01,연간,15세이상인구 (천명),1198.6,
강원,,2008-01,연간,경제활동인구 (천명),739.2,
강원,,2008-01,연간,경제활동참가율 (％),61.7,
강원,,2008-01,연간,고용률 (%),60.4,
강원,,2008-01,연간,비경제활동인구 (천명),459.5,
강원,,2008-01,연간,실업률 (％),2.1,
강원,,2008-01,연간,실업자 (천명),15.7,
강원,,2008-01,연간,취업자 (천명),723.5,
강원,,2009-01,연간,15세이상인구 (천명),1210.8,
강원,,2009-01,연간,경제활동인구 (천명),738.1,
강원,,2009-01,연간,경제활동참가율 (％),61,
강원,,2009-01,연간,고용률 (%),59.7,
강원,,2009-01,연간,비경제활동인구 (천명),472.7,
강원,,2009-01,연간,실업률 (％),2.1,
강원,,2009-01,연간,실업자 (천명),15.5,
강원,,2009-01,연간,취업자 (천명),722.6,
강원,,2010-01,연간,15세이상인구 (천명),1223.1,
강원,,2010-01,연간,경제활동인구 (천명),727.9,
강원,,2010-01,연간,경제활동참가율 (％),59.5,
강원,,2010-01,연간,고용률 (%),58.1,
강원,,2010-01,연간,비경제활동인구 (천명),495.2,
강원,,2010-01,연간,실업률 (％),2.4,
강원,,2010-01,연간,실업자 (천명),17.3,
강원,,2010-01,연간,취업자 (천명),710.6,
강원,,2011-01,분기,15세이상인구 (천명),1225.6,
강원,,2011-01,분기,경제활동인구 (천명),680.7,
강원,,2011-01,분기,경제활동참가율 (％),55.5,
강원,,2011-01,분기,고용률 (%),53.7,
강원,,2011-01,분기,비경제활동인구 (천명),544.9,
강원,,2011-01,분기,실업률 (％),3.4,
강원,,2011-01,분기,실업자 (천명),23.1,
강원,,2011-01,분기,취업자 (천명),657.7,
강원,,2011-04,분기,15세이상인구 (천명),1229.4,
강원,,2011-04,분기,경제활동인구 (천명),751.7,
강원,,2011-04,분기,경제활동참가율 (％),61.1,
강원,,2011-04,분기,고용률 (%),60.1,
강원,,2011-04,분기,비경제활동인구 (천명),477.6,
강원,,2011-04,분기,실업률 (％),1.7,
강원,,2011-04,분기,실업자 (천명),13,
강원,,2011-04,분기,취업자 (천명),738.7,
강원,,2011-07,분기,15세이상인구 (천명),1232.5,
강원,,2011-07,분기,경제활동인구 (천명),716.2,
강원,,2011-07,분기,경제활동참가율 (％),58.1,
강원,,2011-07,분기,고용률 (%),57.2,
강원,,2011-07,분기,비경제활동인구 (천명),516.2,
강원,,2011-07,분기,실업률 (％),1.5,
강원,,2011-07,분기,실업자 (천명),10.8,
강원,,2011-07,분기,취업자 (천명),705.5,
강원,,2011-10,분기,15세이상인구 (천명),1237.7,
강원,,2011-10,분기,경제활동인구 (천명),667.2,
강원,,2011-10,분기,경제활동참가율 (％),53.9,
강원,,2011-10,분기,고용률 (%),52.9,
강원,,2011-10,분기,비경제활동인구 (천명),570.5,
강원,,2011-10,분기,실업률 (％),1.8,
강원,,2011-10,분기,실업자 (천명),12.2,
강원,,2011-10,분기,취업자 (천명),655,
강원,,2012-01,분기,15세이상인구 (천명),1240.3,
강원,,2012-01,분기,경제활동인구 (천명),681.2,
강원,,2012-01,분기,경제활동참가율 (％),54.9,
강원,,2012-01,분기,고용률 (%),52.7,
강원,,2012-01,분기,비경제활동인구 (천명),559.1,
강원,,2012-01,분기,실업률 (％),4.1,
강원,,2012-01,분기,실업자 (천명),28.1,
강원,,2012-01,분기,취업자 (천명),653,
강원,,2012-04,분기,15세이상인구 (천명),1243.3,
강원,,2012-04,분기,경제활동인구 (천명),750.2,
강원,,2012-04,분기,경제활동참가율 (％),60.3,
강원,,2012-04,분기,고용률 (%),59.2,
강원,,2012-04,분기,비경제활동인구 (천명),493,
강원,,2012-04,분기,실업률 (％),2,
강원,,2012-04,분기,실업자 (천명),14.7,
강원,,2012-04,분기,취업자 (천명),735.6,
강원,,2012-07,분기,15세이상인구 (천명),1245.3,
강원,,2012-07,분기,경제활동인구 (천명),764.5,
강원,,2012-07,분기,경제활동참가율 (％),61.4,
강원,,2012-07,분기,고용률 (%),60.2,
강원,,2012-07,분기,비경제활동인구 (천명),480.8,
