광역지자체,자치구,연월,통계명,항목명,값,단위
강원,,2007-01,미분양주택현황,미분양현황,5312,호
강원,,2007-02,미분양주택현황,미분양현황,5344,호
강원,,2007-03,미분양주택현황,미분양현황,5801,호
강원,,2007-04,미분양주택현황,미분양현황,5460,호
강원,,2007-05,미분양주택현황,미분양현황,5212,호
강원,,2007-06,미분양주택현황,미분양현황,6642,호
강원,,2007-07,미분양주택현황,미분양현황,6850,호
강원,,2007-08,미분양주택현황,미분양현황,6625,호
강원,,2007-09,미분양주택현황,미분양현황,6558,호
강원,,2007-10,미분양주택현황,미분양현황,6673,호
강원,,2007-11,미분양주택현황,미분양현황,6739,호
강원,,2007-12,미분양주택현황,미분양현황,7114,호
강원,,2008-01,미분양주택현황,미분양현황,6861,호
강원,,2008-02,미분양주택현황,미분양현황,6583,호
강원,,2008-03,미분양주택현황,미분양현황,6239,호
강원,,2008-04,미분양주택현황,미분양현황,6264,호
강원,,2008-05,미분양주택현황,미분양현황,6217,호
강원,,2008-06,미분양주택현황,미분양현황,11246,호
강원,,2008-07,미분양주택현황,미분양현황,10769,호
강원,,2008-08,미분양주택현황,미분양현황,10377,호
강원,,2008-09,미분양주택현황,미분양현황,10125,호
강원,,2008-10,미분양주택현황,미분양현황,9383,호
강원,,2008-11,미분양주택현황,미분양현황,10930,호
강원,,2008-12,미분양주택현황,미분양현황,10581,호
강원,,2009-01,미분양주택현황,미분양현황,10072,호
강원,,2009-02,미분양주택현황,미분양현황,9940,호
강원,,2009-03,미분양주택현황,미분양현황,9780,호
강원,,2009-04,미분양주택현황,미분양현황,9746,호
강원,,2009-05,미분양주택현황,미분양현황,9249,호
강원,,2009-06,미분양주택현황,미분양현황,8987,호
강원,,2009-07,미분양주택현황,미분양현황,8788,호
강원,,2009-08,미분양주택현황,미분양현황,8577,호
강원,,2009-09,미분양주택현황,미분양현황,7817,호
강원,,2009-10,미분양주택현황,미분양현황,7530,호
강원,,2009-11,미분양주택현황,미분양현황,7353,호
강원,,2009-12,미분양주택현황,미분양현황,7157,호
강원,,2010-01,미분양주택현황,미분양현황,5691,호
강원,,2010-02,미분양주택현황,미분양현황,5416,호
강원,,2010-03,미분양주택현황,미분양현황,5274,호
강원,,2010-04,미분양주택현황,미분양현황,5108,호
강원,,2010-05,미분양주택현황,미분양현황,5105,호
강원,,2010-06,미분양주택현황,미분양현황,5009,호
강원,,2010-07,미분양주택현황,미분양현황,4741,호
강원,,2010-08,미분양주택현황,미분양현황,4556,호
강원,,2010-09,미분양주택현황,미분양현황,4413,호
강원,,2010-10,미분양주택현황,미분양현황,4163,호
강원,,2010-11,미분양주택현황,미분양현황,3988,호
강원,,2010-12,미분양주택현황,미분양현황,3837,호
강원,,2011-01,미분양주택현황,미분양현황,3720,호
강원,,2011-02,미분양주택현황,미분양현황,3544,호
강원,,2011-03,미분양주택현황,미분양현황,3376,호
강원,,2011-04,미분양주택현황,미분양현황,3252,호
강원,,2011-05,미분양주택현황,미분양현황,3363,호
강원,,2011-06,미분양주택현황,미분양현황,3214,호
강원,,2011-07,미분양주택현황,미분양현황,3114,호
강원,,2011-08,미분양주택현황,미분양현황,2922,호
강원,,2011-09,미분양주택현황,미분양현황,2690,호
강원,,2011-10,미분양주택현황,미분양현황,2460,호
강원,,2011-11,미분양주택현황,미분양현황,2207,호
강원,,2011-12,미분양주택현황,미분양현황,2244,호
강원,,2012-01,미분양주택현황,미분양현황,2318,호
강원,,2012-02,미분양주택현황,미분양현황,2642,호
강원,,2012-03,미분양주택현황,미분양현황,2567,호
강원,,2012-04,미분양주택현황,미분양현황,3034,호
강원,,2012-05,미분양주택현황,미분양현황,2809,호
강원,,2012-06,미분양주택현황,미분양현황,3086,호
강원,,2012-07,미분양주택현황,미분양현황,3244,호
강원,,2012-08,미분양주택현황,미분양현황,3184,호
강원,,2012-09,미분양주택현황,미분양현황,3616,호
강원,,2012-10,미분양주택현황,미분양현황,3769,호
강원,,2012-11,미분양주택현황,미분양현황,4367,호
강원,,2012-12,미분양주택현황,미분양현황,4421,호
강원,,2013-01,미분양주택현황,미분양현황,4159,호
강원,,2013-02,미분양주택현황,미분양현황,4220,호
강원,,2013-03,미분양주택현황,미분양현황,3846,호
강원,,2013-04,미분양주택현황,미분양현황,4149,호
강원,,2013-05,미분양주택현황,미분양현황,3751,호
강원,,2013-06,미분양주택현황,미분양현황,3461,호
강원,,2013-07,미분양주택현황,미분양현황,3582,호
강원,,2013-08,미분양주택현황,미분양현황,3446,호
강원,,2013-09,미분양주택현황,미분양현황,3572,호
강원,,2013-10,미분양주택현황,미분양현황,3283,호
강원,,2013-11,미분양주택현황,미분양현황,3156,호
강원,,2013-12,미분양주택현황,미분양현황,3055,호
강원,,2014-01,미분양주택현황,미분양현황,2936,호
강원,,2014-02,미분양주택현황,미분양현황,3049,호
강원,,2014-03,미분양주택현황,미분양현황,2899,호
강원,,2014-04,미분양주택현황,미분양현황,2840,호
강원,,2014-05,미분양주택현황,미분양현황,2413,호
강원,,2014-06,미분양주택현황,미분양현황,2275,호
강원,,2014-07,미분양주택현황,미분양현황,2169,호
강원,,2014-08,미분양주택현황,미분양현황,1739,호
강원,,2014-09,미분양주택현황,미분양현황,1630,호
강원,,2014-10,미분양주택현황,미분양현황,3357,호
강원,,2014-11,미분양주택현황,미분양현황,3086,호
강원,,2014-12,미분양주택현황,미분양현황,3054,호
강원,,2015-01,미분양주택현황,미분양현황,2930,호
강원,,2015-02,미분양주택현황,미분양현황,2850,호
강원,,2015-03,미분양주택현황,미분양현황,2703,호
강원,,2015-04,미분양주택현황,미분양현황,2577,호
강원,,2015-05,미분양주택현황,미분양현황,2946,호
강원,,2015-06,미분양주택현황,미분양현황,3373,호
강원,,2015-07,미분양주택현황,미분양현황,2089,호
강원,,2015-08,미분양주택현황,미분양현황,1766,호
강원,,2015-09,미분양주택현황,미분양현황,1761,호
강원,,2015-10,미분양주택현황,미분양현황,1641,호
강원,,2015-11,미분양주택현황,미분양현황,1937,호
강원,,2015-12,미분양주택현황,미분양현황,1876,호
강원,,2016-01,미분양주택현황,미분양현황,2264,호
강원,,2016-02,미분양주택현황,미분양현황,2271,호
강원,,2016-03,미분양주택현황,미분양현황,1863,호
강원,,2016-04,미분양주택현황,미분양현황,2097,호
강원,,2016-05,미분양주택현황,미분양현황,1943,호
강원,,2016-06,미분양주택현황,미분양현황,2127,호
강원,,2016-07,미분양주택현황,미분양현황,3061,호
강원,,2016-08,미분양주택현황,미분양현황,2678,호
강원,,2016-09,미분양주택현황,미분양현황,2874,호
강원,,2016-10,미분양주택현황,미분양현황,2479,호
강원,,2016-11,미분양주택현황,미분양현황,3605,호
강원,,2016-12,미분양주택현황,미분양현황,3314,호
강원,,2017-01,미분양주택현황,미분양현황,3466,호
강원,,2017-02,미분양주택현황,미분양현황,3281,호
강원,,2017-03,미분양주택현황,미분양현황,3064,호
강원,,2017-04,미분양주택현황,미분양현황,3297,호
강원,,2017-05,미분양주택현황,미분양현황,3013,호
강원,,2017-06,미분양주택현황,미분양현황,3019,호
강원,,2017-07,미분양주택현황,미분양현황,2655,호
강원,,2017-08,미분양주택현황,미분양현황,2316,호
강원,,2017-09,미분양주택현황,미분양현황,3094,호
강원,,2017-10,미분양주택현황,미분양현황,2701,호
강원,,2017-11,미분양주택현황,미분양현황,2474,호
강원,,2017-12,미분양주택현황,미분양현황,2816,호
강원,,2018-01,미분양주택현황,미분양현황,2693,호
강원,,2018-02,미분양주택현황,미분양현황,4636,호
강원,,2018-03,미분양주택현황,미분양현황,5215,호
강원,,2018-04,미분양주택현황,미분양현황,5038,호
강원,,2018-05,미분양주택현황,미분양현황,4883,호
강원,,2018-06,미분양주택현황,미분양현황,4729,호
강원,,2018-07,미분양주택현황,미분양현황,4906,호
강원,,2018-08,미분양주택현황,미분양현황,5240,호
강원,,2018-09,미분양주택현황,미분양현황,5112,호
강원,,2018-10,미분양주택현황,미분양현황,5350,호
강원,,2018-11,미분양주택현황,미분양현황,5300,호
강원,,2018-12,미분양주택현황,미분양현황,5736,호
강원,,2019-01,미분양주택현황,미분양현황,5589,호
강원,,2019-02,미분양주택현황,미분양현황,5802,호
강원,,2019-03,미분양주택현황,미분양현황,5748,호
강원,,2019-04,미분양주택현황,미분양현황,7882,호
강원,,2019-05,미분양주택현황,미분양현황,7776,호
강원,,2019-06,미분양주택현황,미분양현황,7712,호
강원,,2019-07,미분양주택현황,미분양현황,7474,호
강원,,2019-08,미분양주택현황,미분양현황,8097,호
