광역지자체,자치구,연월,통계명,항목명,값,단위
경기,,2010-06,수급동향(구)_통합,지수,97.2,지수
경기,,2010-07,수급동향(구)_통합,지수,95.3,지수
경기,,2010-08,수급동향(구)_통합,지수,92.0,지수
경기,,2010-09,수급동향(구)_통합,지수,121.3,지수
경기,,2010-10,수급동향(구)_통합,지수,131.6,지수
경기,,2010-11,수급동향(구)_통합,지수,132.5,지수
경기,,2010-12,수급동향(구)_통합,지수,127.7,지수
경기,,2011-01,수급동향(구)_통합,지수,122.0,지수
경기,,2011-02,수급동향(구)_통합,지수,113.7,지수
경기,,2011-03,수급동향(구)_통합,지수,102.5,지수
경기,,2011-04,수급동향(구)_통합,지수,93.5,지수
경기,,2011-05,수급동향(구)_통합,지수,83.7,지수
경기,,2011-06,수급동향(구)_통합,지수,97.5,지수
경기,,2011-07,수급동향(구)_통합,지수,92.5,지수
경기,,2011-08,수급동향(구)_통합,지수,112.9,지수
경기,,2011-09,수급동향(구)_통합,지수,116.3,지수
경기,,2011-10,수급동향(구)_통합,지수,90.1,지수
경기,,2011-11,수급동향(구)_통합,지수,89.4,지수
경기,,2011-12,수급동향(구)_통합,지수,76.5,지수
경기,,2012-01,수급동향(구)_통합,지수,82.2,지수
경기,,2012-02,수급동향(구)_통합,지수,92.1,지수
경기,,2012-03,수급동향(구)_통합,지수,92.8,지수
경기,,2012-04,수급동향(구)_통합,지수,92.8,지수
경기,,2012-05,수급동향(구)_통합,지수,87.8,지수
경기,,2012-06,수급동향(구)_통합,지수,98.7,지수
경기,,2012-07,수급동향(구)_통합,지수,87.2,지수
경기,,2012-08,수급동향(구)_통합,지수,85.1,지수
경기,,2012-09,수급동향(구)_통합,지수,90.6,지수
경기,,2012-10,수급동향(구)_통합,지수,89.3,지수
경기,,2012-11,수급동향(구)_통합,지수,85.5,지수
경기,,2012-12,수급동향(구)_통합,지수,84.0,지수
경기,,2013-01,수급동향(구)_통합,지수,87.9,지수
경기,,2013-02,수급동향(구)_통합,지수,87.4,지수
경기,,2013-03,수급동향(구)_통합,지수,99.6,지수
경기,,2013-04,수급동향(구)_통합,지수,92.3,지수
경기,,2013-05,수급동향(구)_통합,지수,96.1,지수
경기,,2013-06,수급동향(구)_통합,지수,88.5,지수
경기,,2013-07,수급동향(구)_통합,지수,94.4,지수
경기,,2013-08,수급동향(구)_통합,지수,94.5,지수
경기,,2013-09,수급동향(구)_통합,지수,89.1,지수
경기,,2013-10,수급동향(구)_통합,지수,93.6,지수
경기,,2013-11,수급동향(구)_통합,지수,96.3,지수
경기,,2013-12,수급동향(구)_통합,지수,94.8,지수
경기,,2014-01,수급동향(구)_통합,지수,87.4,지수
경기,,2014-02,수급동향(구)_통합,지수,83.0,지수
경기,,2014-03,수급동향(구)_통합,지수,85.4,지수
경기,,2014-04,수급동향(구)_통합,지수,81.2,지수
경기,,2014-05,수급동향(구)_통합,지수,81.3,지수
경기,,2014-06,수급동향(구)_통합,지수,76.3,지수
경기,,2014-07,수급동향(구)_통합,지수,74.8,지수
경기,,2014-08,수급동향(구)_통합,지수,75.3,지수
경기,,2014-09,수급동향(구)_통합,지수,74.8,지수
경기,,2014-10,수급동향(구)_통합,지수,41.7,지수
경기,,2014-11,수급동향(구)_통합,지수,79.5,지수
경기,,2014-12,수급동향(구)_통합,지수,79.5,지수
경기,,2015-01,수급동향(구)_통합,지수,80.0,지수
경기,,2015-02,수급동향(구)_통합,지수,88.9,지수
경기,,2015-03,수급동향(구)_통합,지수,80.8,지수
경기,,2015-04,수급동향(구)_통합,지수,73.3,지수
경기,,2015-05,수급동향(구)_통합,지수,85.4,지수
경기,,2015-06,수급동향(구)_통합,지수,76.5,지수
광주,,2012-05,수급동향(구)_통합,지수,100.0,지수
광주,,2012-06,수급동향(구)_통합,지수,99.2,지수
광주,,2012-07,수급동향(구)_통합,지수,99.0,지수
광주,,2012-08,수급동향(구)_통합,지수,96.7,지수
광주,,2012-09,수급동향(구)_통합,지수,101.5,지수
광주,,2012-10,수급동향(구)_통합,지수,101.5,지수
광주,,2012-11,수급동향(구)_통합,지수,99.3,지수
광주,,2012-12,수급동향(구)_통합,지수,101.5,지수
광주,,2013-01,수급동향(구)_통합,지수,99.3,지수
광주,,2013-02,수급동향(구)_통합,지수,103.6,지수
광주,,2013-03,수급동향(구)_통합,지수,110.2,지수
광주,,2013-04,수급동향(구)_통합,지수,101.5,지수
광주,,2013-05,수급동향(구)_통합,지수,107.3,지수
광주,,2013-06,수급동향(구)_통합,지수,113.1,지수
광주,,2013-07,수급동향(구)_통합,지수,102.2,지수
광주,,2013-08,수급동향(구)_통합,지수,104.4,지수
광주,,2013-09,수급동향(구)_통합,지수,109.4,지수
광주,,2013-10,수급동향(구)_통합,지수,100.9,지수
광주,,2013-11,수급동향(구)_통합,지수,105.4,지수
광주,,2013-12,수급동향(구)_통합,지수,99.5,지수
광주,,2014-01,수급동향(구)_통합,지수,100.0,지수
광주,,2014-02,수급동향(구)_통합,지수,102.7,지수
광주,,2014-03,수급동향(구)_통합,지수,95.5,지수
광주,,2014-04,수급동향(구)_통합,지수,96.4,지수
광주,,2014-05,수급동향(구)_통합,지수,101.4,지수
광주,,2014-06,수급동향(구)_통합,지수,102.7,지수
광주,,2014-07,수급동향(구)_통합,지수,100.0,지수
광주,,2014-08,수급동향(구)_통합,지수,100.0,지수
광주,,2014-09,수급동향(구)_통합,지수,91.9,지수
광주,,2014-10,수급동향(구)_통합,지수,95.9,지수
광주,,2014-11,수급동향(구)_통합,지수,85.2,지수
광주,,2014-12,수급동향(구)_통합,지수,109.4,지수
광주,,2015-01,수급동향(구)_통합,지수,106.7,지수
광주,,2015-02,수급동향(구)_통합,지수,104.0,지수
광주,,2015-03,수급동향(구)_통합,지수,114.0,지수
광주,,2015-04,수급동향(구)_통합,지수,116.7,지수
광주,,2015-05,수급동향(구)_통합,지수,109.9,지수
광주,,2015-06,수급동향(구)_통합,지수,112.6,지수
대구,,2012-05,수급동향(구)_통합,지수,100.0,지수
대구,,2012-06,수급동향(구)_통합,지수,95.1,지수
대구,,2012-07,수급동향(구)_통합,지수,105.1,지수
대구,,2012-08,수급동향(구)_통합,지수,107.3,지수
대구,,2012-09,수급동향(구)_통합,지수,102.4,지수
대구,,2012-10,수급동향(구)_통합,지수,107.3,지수
대구,,2012-11,수급동향(구)_통합,지수,124.4,지수
대구,,2012-12,수급동향(구)_통합,지수,122.0,지수
대구,,2013-01,수급동향(구)_통합,지수,117.1,지수
