광역지자체,자치구,연월,통계명,항목명,값,단위
강원,,2006-01,행정구역별_아파트거래현황,동(호)수,1982,동(호)수
강원,,2006-01,행정구역별_아파트거래현황,면적,133,천㎡
강원,,2006-02,행정구역별_아파트거래현황,동(호)수,2690,동(호)수
강원,,2006-02,행정구역별_아파트거래현황,면적,195,천㎡
강원,,2006-03,행정구역별_아파트거래현황,동(호)수,3307,동(호)수
강원,,2006-03,행정구역별_아파트거래현황,면적,252,천㎡
강원,,2006-04,행정구역별_아파트거래현황,동(호)수,2224,동(호)수
강원,,2006-04,행정구역별_아파트거래현황,면적,167,천㎡
강원,,2006-05,행정구역별_아파트거래현황,동(호)수,2474,동(호)수
강원,,2006-05,행정구역별_아파트거래현황,면적,197,천㎡
강원,,2006-06,행정구역별_아파트거래현황,동(호)수,2397,동(호)수
강원,,2006-06,행정구역별_아파트거래현황,면적,181,천㎡
강원,,2006-07,행정구역별_아파트거래현황,동(호)수,2036,동(호)수
강원,,2006-07,행정구역별_아파트거래현황,면적,157,천㎡
강원,,2006-08,행정구역별_아파트거래현황,동(호)수,1571,동(호)수
강원,,2006-08,행정구역별_아파트거래현황,면적,120,천㎡
강원,,2006-09,행정구역별_아파트거래현황,동(호)수,2409,동(호)수
강원,,2006-09,행정구역별_아파트거래현황,면적,179,천㎡
강원,,2006-10,행정구역별_아파트거래현황,동(호)수,2374,동(호)수
강원,,2006-10,행정구역별_아파트거래현황,면적,184,천㎡
강원,,2006-11,행정구역별_아파트거래현황,동(호)수,3880,동(호)수
강원,,2006-11,행정구역별_아파트거래현황,면적,319,천㎡
강원,,2006-12,행정구역별_아파트거래현황,동(호)수,2308,동(호)수
강원,,2006-12,행정구역별_아파트거래현황,면적,181,천㎡
강원,,2007-01,행정구역별_아파트거래현황,동(호)수,2160,동(호)수
강원,,2007-01,행정구역별_아파트거래현황,면적,170,천㎡
강원,,2007-02,행정구역별_아파트거래현황,동(호)수,1512,동(호)수
강원,,2007-02,행정구역별_아파트거래현황,면적,111,천㎡
