광역지자체,자치구,연월,통계명,항목명,값,단위
강원,,2011-01,지역별전월세전환율_아파트,전월세 전환율,11.9021739130435,%
강원,,2011-02,지역별전월세전환율_아파트,전월세 전환율,11.9021739130435,%
강원,,2011-03,지역별전월세전환율_아파트,전월세 전환율,11.9021739130435,%
강원,,2011-04,지역별전월세전환율_아파트,전월세 전환율,11.9021739130435,%
강원,,2011-05,지역별전월세전환율_아파트,전월세 전환율,11.9021739130435,%
강원,,2011-06,지역별전월세전환율_아파트,전월세 전환율,11.9021739130435,%
강원,,2011-07,지역별전월세전환율_아파트,전월세 전환율,11.7600212089077,%
강원,,2011-08,지역별전월세전환율_아파트,전월세 전환율,11.5305623471883,%
강원,,2011-09,지역별전월세전환율_아파트,전월세 전환율,11.5305623471883,%
강원,,2011-10,지역별전월세전환율_아파트,전월세 전환율,11.3837837837838,%
강원,,2011-11,지역별전월세전환율_아파트,전월세 전환율,11.3513513513514,%
강원,,2011-12,지역별전월세전환율_아파트,전월세 전환율,10.9665326040885,%
강원,,2012-01,지역별전월세전환율_아파트,전월세 전환율,10.42704221409,%
강원,,2012-02,지역별전월세전환율_아파트,전월세 전환율,10.0209500609013,%
강원,,2012-03,지역별전월세전환율_아파트,전월세 전환율,9.89976475859751,%
강원,,2012-04,지역별전월세전환율_아파트,전월세 전환율,9.73108774541732,%
강원,,2012-05,지역별전월세전환율_아파트,전월세 전환율,9.85553470919325,%
강원,,2012-06,지역별전월세전환율_아파트,전월세 전환율,9.91304347826087,%
강원,,2012-07,지역별전월세전환율_아파트,전월세 전환율,9.91304347826087,%
강원,,2012-08,지역별전월세전환율_아파트,전월세 전환율,10,%
강원,,2012-09,지역별전월세전환율_아파트,전월세 전환율,10,%
강원,,2012-10,지역별전월세전환율_아파트,전월세 전환율,10,%
강원,,2012-11,지역별전월세전환율_아파트,전월세 전환율,10,%
강원,,2012-12,지역별전월세전환율_아파트,전월세 전환율,9.88226630882047,%
강원,,2013-01,지역별전월세전환율_아파트,전월세 전환율,9.85408802635884,%
강원,,2013-02,지역별전월세전환율_아파트,전월세 전환율,9.79591836734694,%
강원,,2013-03,지역별전월세전환율_아파트,전월세 전환율,9.83356840620592,%
강원,,2013-04,지역별전월세전환율_아파트,전월세 전환율,10,%
강원,,2013-05,지역별전월세전환율_아파트,전월세 전환율,9.6,%
강원,,2013-06,지역별전월세전환율_아파트,전월세 전환율,9.6,%
강원,,2013-07,지역별전월세전환율_아파트,전월세 전환율,9.53451894314451,%
강원,,2013-08,지역별전월세전환율_아파트,전월세 전환율,9.375,%
