광역지자체,자치구,연월,통계명,항목명,값,단위
강원,,2011-07,주택시장_소비심리지수,지수,149.7,지수
강원,,2011-08,주택시장_소비심리지수,지수,151.4,지수
강원,,2011-09,주택시장_소비심리지수,지수,145.8,지수
강원,,2011-10,주택시장_소비심리지수,지수,133.2,지수
강원,,2011-11,주택시장_소비심리지수,지수,126.1,지수
강원,,2011-12,주택시장_소비심리지수,지수,121.3,지수
강원,,2012-01,주택시장_소비심리지수,지수,124.3,지수
강원,,2012-02,주택시장_소비심리지수,지수,133.5,지수
강원,,2012-03,주택시장_소비심리지수,지수,127.1,지수
강원,,2012-04,주택시장_소비심리지수,지수,124.5,지수
강원,,2012-05,주택시장_소비심리지수,지수,120.4,지수
강원,,2012-06,주택시장_소비심리지수,지수,111.8,지수
강원,,2012-07,주택시장_소비심리지수,지수,114.7,지수
강원,,2012-08,주택시장_소비심리지수,지수,119,지수
강원,,2012-09,주택시장_소비심리지수,지수,123.7,지수
강원,,2012-10,주택시장_소비심리지수,지수,125.8,지수
강원,,2012-11,주택시장_소비심리지수,지수,119,지수
강원,,2012-12,주택시장_소비심리지수,지수,111.3,지수
강원,,2013-01,주택시장_소비심리지수,지수,123.8,지수
강원,,2013-02,주택시장_소비심리지수,지수,129.8,지수
강원,,2013-03,주택시장_소비심리지수,지수,124.9,지수
강원,,2013-04,주택시장_소비심리지수,지수,128.1,지수
강원,,2013-05,주택시장_소비심리지수,지수,126.2,지수
강원,,2013-06,주택시장_소비심리지수,지수,117.5,지수
강원,,2013-07,주택시장_소비심리지수,지수,115.2,지수
강원,,2013-08,주택시장_소비심리지수,지수,124.5,지수
강원,,2013-09,주택시장_소비심리지수,지수,126.1,지수
강원,,2013-10,주택시장_소비심리지수,지수,127.6,지수
강원,,2013-11,주택시장_소비심리지수,지수,124.9,지수
강원,,2013-12,주택시장_소비심리지수,지수,119.7,지수
강원,,2014-01,주택시장_소비심리지수,지수,129.3,지수
강원,,2014-02,주택시장_소비심리지수,지수,133.3,지수
강원,,2014-03,주택시장_소비심리지수,지수,123.9,지수
강원,,2014-04,주택시장_소비심리지수,지수,116.7,지수
강원,,2014-05,주택시장_소비심리지수,지수,112.6,지수
강원,,2014-06,주택시장_소비심리지수,지수,114.6,지수
강원,,2014-07,주택시장_소비심리지수,지수,119.5,지수
강원,,2014-08,주택시장_소비심리지수,지수,123.7,지수
강원,,2014-09,주택시장_소비심리지수,지수,117.9,지수
강원,,2014-10,주택시장_소비심리지수,지수,126.3,지수
강원,,2014-11,주택시장_소비심리지수,지수,118.9,지수
강원,,2014-12,주택시장_소비심리지수,지수,116.5,지수
강원,,2015-01,주택시장_소비심리지수,지수,133.6,지수
강원,,2015-02,주택시장_소비심리지수,지수,139.1,지수
강원,,2015-03,주택시장_소비심리지수,지수,136,지수
강원,,2015-04,주택시장_소비심리지수,지수,140.6,지수
