광역지자체,자치구,연월,인허가(호),착공(호),준공(호)
서울,,2007-01,934,,
서울,,2007-02,250,,
서울,,2007-03,709,,
서울,,2007-04,1021,,
서울,,2007-05,890,,
서울,,2007-06,569,,
서울,,2007-07,5921,,
서울,,2007-08,11267,,
서울,,2007-09,11649,,
서울,,2007-10,6989,,
서울,,2007-11,3463,,
서울,,2007-12,6366,,
서울,,2008-01,161,,
서울,,2008-02,1168,,
서울,,2008-03,0,,
서울,,2008-04,8669,,
서울,,2008-05,3009,,
서울,,2008-06,846,,
서울,,2008-07,1027,,
서울,,2008-08,556,,
서울,,2008-09,125,,
서울,,2008-10,430,,
서울,,2008-11,901,,
서울,,2008-12,5046,,
서울,,2009-01,494,,
서울,,2009-02,1566,,
서울,,2009-03,865,,
서울,,2009-04,1398,,
서울,,2009-05,2919,,
서울,,2009-06,868,,
서울,,2009-07,0,,
서울,,2009-08,149,,
서울,,2009-09,442,,
서울,,2009-10,1196,,
서울,,2009-11,2110,,
서울,,2009-12,14619,,
서울,,2010-01,84,,
서울,,2010-02,236,,
서울,,2010-03,3022,,
서울,,2010-04,998,,
서울,,2010-05,817,,
서울,,2010-06,-14,,
서울,,2010-07,316,,
서울,,2010-08,1373,,2599
서울,,2010-09,2324,,65
서울,,2010-10,1385,,287
서울,,2010-11,431,,309
서울,,2010-12,40398,,8479
서울,,2011-01,3101,103,5815
서울,,2011-02,2698,309,3848
서울,,2011-03,1817,5451,591
서울,,2011-04,6857,3023,3514
서울,,2011-05,3266,765,952
서울,,2011-06,3660,4962,2402
서울,,2011-07,2915,2417,4384
서울,,2011-08,-491,558,1294
서울,,2011-09,4495,1954,1509
서울,,2011-10,137,6213,4340
서울,,2011-11,4555,1782,4688
서울,,2011-12,14097,12863,5145
서울,,2012-01,1936,3589,3147
서울,,2012-02,3123,995,1435
서울,,2012-03,2159,4193,831
서울,,2012-04,2312,3460,1525
서울,,2012-05,1111,4407,2230
서울,,2012-06,2614,610,1636
서울,,2012-07,6063,2743,844
서울,,2012-08,3548,3417,2418
서울,,2012-09,3667,5827,2635
서울,,2012-10,4498,1313,4241
서울,,2012-11,5796,429,2681
서울,,2012-12,6175,1493,2492
서울,,2013-01,2237,864,3343
서울,,2013-02,1382,1772,2177
서울,,2013-03,1726,2511,1241
서울,,2013-04,2526,954,807
서울,,2013-05,2330,1028,2942
서울,,2013-06,2591,1823,1924
서울,,2013-07,7360,1604,957
서울,,2013-08,5821,5230,2359
서울,,2013-09,2873,392,4317
서울,,2013-10,3318,2220,4285
서울,,2013-11,3012,7939,6561
서울,,2013-12,9928,8287,2694
서울,,2014-01,3005,1028,2740
서울,,2014-02,2749,1187,2616
서울,,2014-03,982,1055,4409
서울,,2014-04,2818,2456,4459
서울,,2014-05,4220,1328,8804
서울,,2014-06,6168,4111,1385
서울,,2014-07,298,344,2626
서울,,2014-08,1556,4643,2294
서울,,2014-09,2884,1796,6759
서울,,2014-10,3635,4545,5209
서울,,2014-11,3174,4973,1112
서울,,2014-12,1646,2947,1583
서울,,2015-01,730,1383,1579
서울,,2015-02,1766,436,1257
서울,,2015-03,3397,2384,1175
서울,,2015-04,1743,1596,4119
서울,,2015-05,2137,1751,1447
서울,,2015-06,488,2289,1603
서울,,2015-07,14902,1596,2114
서울,,2015-08,2657,2903,3833
서울,,2015-09,5693,5053,3100
서울,,2015-10,5309,12787,1049
서울,,2015-11,1300,2257,698
서울,,2015-12,8824,5809,720
서울,,2016-01,1792,3226,3807
서울,,2016-02,1963,1498,1915
서울,,2016-03,251,2407,562
서울,,2016-04,7570,1776,1741
서울,,2016-05,1388,3426,1791
서울,,2016-06,975,4297,1862
서울,,2016-07,4112,861,2707
서울,,2016-08,1973,4758,3868
서울,,2016-09,426,7007,2407
서울,,2016-10,1270,4740,236
서울,,2016-11,1312,3767,3998
서울,,2016-12,4058,11932,10494
서울,,2017-01,2395,2302,1144
서울,,2017-02,6645,1019,2771
서울,,2017-03,3895,1989,2408
서울,,2017-04,3281,10700,3183
서울,,2017-05,2732,654,1608
서울,,2017-06,3420,3372,1875
서울,,2017-07,5874,8836,2984
서울,,2017-08,3681,5288,4371
서울,,2017-09,11542,5355,3233
서울,,2017-10,13986,1923,919
서울,,2017-11,4352,3253,2468
서울,,2017-12,13335,10583,2237
서울,,2018-01,1858,2238,1486
서울,,2018-02,929,3918,1831
서울,,2018-03,673,3211,1451
서울,,2018-04,2578,4880,847
서울,,2018-05,2367,6186,3456
서울,,2018-06,726,3899,4406
