광역지자체,자치구,연월,세대수
강원,,2011-01,638519
강원,,2011-02,638649
강원,,2011-03,641429
강원,,2011-04,643592
강원,,2011-05,644038
강원,,2011-06,644335
강원,,2011-07,644831
강원,,2011-08,645355
강원,,2011-09,645878
강원,,2011-10,646958
강원,,2011-11,648279
강원,,2011-12,648649
강원,,2012-01,648009
강원,,2012-02,648131
강원,,2012-03,651414
강원,,2012-04,652486
강원,,2012-05,653384
강원,,2012-06,653835
강원,,2012-07,654172
강원,,2012-08,654381
강원,,2012-09,655021
강원,,2012-10,655349
강원,,2012-11,655509
강원,,2012-12,655301
강원,,2013-01,654872
강원,,2013-02,654835
강원,,2013-03,657367
강원,,2013-04,659050
강원,,2013-05,659982
강원,,2013-06,660846
강원,,2013-07,661141
강원,,2013-08,661758
강원,,2013-09,662541
강원,,2013-10,663630
강원,,2013-11,664587
강원,,2013-12,664913
강원,,2014-01,664027
강원,,2014-02,663906
강원,,2014-03,666873
강원,,2014-04,668131
강원,,2014-05,668750
강원,,2014-06,668897
강원,,2014-07,668835
강원,,2014-08,669209
강원,,2014-09,669874
강원,,2014-10,670805
강원,,2014-11,671682
강원,,2014-12,673978
강원,,2015-01,673811
강원,,2015-02,674035
강원,,2015-03,675522
강원,,2015-04,676839
강원,,2015-05,678390
강원,,2015-06,680373
강원,,2015-07,681188
강원,,2015-08,681440
강원,,2015-09,682501
강원,,2015-10,683868
강원,,2015-11,684390
강원,,2015-12,685005
강원,,2016-01,685049
강원,,2016-02,685109
강원,,2016-03,685893
강원,,2016-04,687027
강원,,2016-05,687353
강원,,2016-06,688354
강원,,2016-07,688539
강원,,2016-08,688816
강원,,2016-09,689476
강원,,2016-10,690820
강원,,2016-11,691533
강원,,2016-12,692254
강원,,2017-01,691762
강원,,2017-02,692316
강원,,2017-03,693540
강원,,2017-04,694240
강원,,2017-05,694977
강원,,2017-06,695774
강원,,2017-07,695886
강원,,2017-08,696242
강원,,2017-09,697109
강원,,2017-10,697784
강원,,2017-11,699165
